iter	Logloss
0	0.6883998411
1	0.6845834348
2	0.6800008106
3	0.6751089659
4	0.6697335787
5	0.6653337767
6	0.6609081994
7	0.6564786803
8	0.6512968099
9	0.6465818032
10	0.6420141621
11	0.6369344819
12	0.6332774995
13	0.6290991224
14	0.6249862746
15	0.6209315174
16	0.6173123766
17	0.6134822333
18	0.6095363321
19	0.6062503207
20	0.6023672833
21	0.59868547
22	0.5958315372
23	0.5923160605
24	0.5887539222
25	0.5844805731
26	0.5810989278
27	0.5777195302
28	0.5748462293
29	0.5722743475
30	0.5699280395
31	0.5665262016
32	0.5639506228
33	0.5599543435
34	0.5562131844
35	0.5532643038
36	0.5497797088
37	0.5473133839
38	0.5442963811
39	0.5409132946
40	0.5380997715
41	0.5343883394
42	0.5315865795
43	0.5283629253
44	0.5255369034
45	0.5225657959
46	0.5195478854
47	0.5174646352
48	0.5146765095
49	0.5119143847
50	0.5094303896
51	0.5068577614
52	0.5045704572
53	0.5022723658
54	0.4990790926
55	0.4968562125
56	0.4941131182
57	0.4916563713
58	0.4894784995
59	0.4876862381
60	0.4850204727
61	0.4831949627
62	0.4808078684
63	0.4783680544
64	0.4757341149
65	0.4733591308
66	0.4709784717
67	0.4685240346
68	0.4666388383
69	0.4649685488
70	0.4627477309
71	0.460536744
72	0.4583558963
73	0.455996816
74	0.4544643877
75	0.4523557902
76	0.4510282887
77	0.4488617766
78	0.4470274974
79	0.4457108456
80	0.4436725926
81	0.4430804621
82	0.4413259528
83	0.439579554
84	0.437871318
85	0.4360816037
86	0.434614472
87	0.4330768394
88	0.431363702
89	0.4295749752
90	0.428140692
91	0.4262308341
92	0.4243332658
93	0.4226994103
94	0.4206175561
95	0.4185748008
96	0.416819611
97	0.4152900749
98	0.4134823309
99	0.4121330301
100	0.4104799659
101	0.4089673557
102	0.4069997868
103	0.405263163
104	0.4034143075
105	0.4023528418
106	0.4014353966
107	0.3999427832
108	0.3987523785
109	0.3968783785
110	0.3954112555
111	0.3937254744
112	0.3920882729
113	0.390321925
114	0.3891355714
115	0.3875135867
116	0.3861558296
117	0.3849275184
118	0.3836236341
119	0.3822738461
120	0.3805204831
121	0.3793882984
122	0.3777540899
123	0.376463166
124	0.3752312123
125	0.3742036273
126	0.3727960052
127	0.3714953599
128	0.3703813629
129	0.3693751808
130	0.3678409758
131	0.3666541621
132	0.3651023768
133	0.3639201254
134	0.3627496138
135	0.3613634075
136	0.3600030523
137	0.3590534454
138	0.3582048318
139	0.357274519
140	0.3562920096
141	0.3552719113
142	0.3543176657
143	0.3534761402
144	0.3527266946
145	0.3512844956
146	0.3503248184
147	0.349238094
148	0.3484459481
149	0.3474765112
150	0.3465453296
151	0.3459150674
152	0.3450161823
153	0.3438808013
154	0.3431673358
155	0.3425433206
156	0.3416145262
157	0.3408264276
158	0.3399178415
159	0.3387128594
160	0.3375644087
161	0.3365904489
162	0.3354903792
163	0.3343959896
164	0.3335239366
165	0.3328443521
166	0.332005319
167	0.3310361421
168	0.3303419956
169	0.3299169022
170	0.3292447421
171	0.328461685
172	0.3278278163
173	0.3272199237
174	0.3262593135
175	0.3251736087
176	0.3242240575
177	0.3233648651
178	0.322531298
179	0.3218636522
180	0.3211748821
181	0.3203037023
182	0.3196170219
183	0.3187359085
184	0.3175066134
185	0.3167108278
186	0.3161684819
187	0.315552763
188	0.314959729
189	0.3142851128
190	0.3135358057
191	0.3129157726
192	0.3118701216
193	0.3112078324
194	0.3103690031
195	0.3096206216
196	0.3087758591
197	0.307829318
198	0.3070309994
199	0.3062269052
200	0.3057483637
201	0.305203509
202	0.3044749688
203	0.3036260903
204	0.3030091952
205	0.3023524258
206	0.3013077542
207	0.3004101939
208	0.2997360785
209	0.2990982184
210	0.2985881014
211	0.2980252076
212	0.2973354995
213	0.2967137134
214	0.2960708854
215	0.2954490673
216	0.2945588031
217	0.2939948987
218	0.2934355105
219	0.2929241769
220	0.2923876973
221	0.2915331768
222	0.2907119578
223	0.289893327
224	0.2894353132
225	0.2890563094
226	0.2882077279
227	0.2874169407
228	0.2870063795
229	0.2865323583
230	0.285547922
231	0.2850485889
232	0.2846911481
233	0.2843537711
234	0.2840591855
235	0.2836633593
236	0.2832696277
237	0.2829965326
238	0.2825639983
239	0.2821352049
240	0.28138721
241	0.2808298755
242	0.2802937751
243	0.2797471814
244	0.2788012895
245	0.2781368931
246	0.2776513912
247	0.277149385
248	0.2768352077
249	0.2761975443
250	0.2754407908
251	0.2746154774
252	0.2740748092
253	0.2734962608
254	0.2728870503
255	0.2723482195
256	0.2718945234
257	0.2716152653
258	0.2712585755
259	0.2707698724
260	0.2703450358
261	0.2700296849
262	0.269740919
263	0.2692761925
264	0.268828169
265	0.2683318016
266	0.2679153088
267	0.2675345129
268	0.2671083903
269	0.2667834099
270	0.2659027096
271	0.2652459056
272	0.2648534752
273	0.2644600427
274	0.2640771339
275	0.2635196269
276	0.2628495091
277	0.2623581472
278	0.261822305
279	0.2613483799
280	0.2609743402
281	0.2605180927
282	0.2600968543
283	0.2598543074
284	0.2593294062
285	0.2588647976
286	0.2582031399
287	0.2578577157
288	0.2573401929
289	0.2565088973
290	0.256127301
291	0.2558898377
292	0.2555143229
293	0.2551733339
294	0.2546491929
295	0.2543556884
296	0.2536400111
297	0.2533718544
298	0.2530980321
299	0.252734505
300	0.2524821012
301	0.2520317547
302	0.2517136567
303	0.2511425088
304	0.2506334937
305	0.2498693133
306	0.2493392037
307	0.2491148321
308	0.2487629819
309	0.2483771087
310	0.2479335814
311	0.2473063801
312	0.2469133817
313	0.2465811994
314	0.246317632
315	0.2460418215
316	0.245632686
317	0.2453241899
318	0.2447291086
319	0.244453188
320	0.2442678701
321	0.2437661084
322	0.2432886109
323	0.2427835355
324	0.2423800365
325	0.2420096345
326	0.2415023803
327	0.2410749931
328	0.2404956333
329	0.2401320888
330	0.2397907704
331	0.2394787283
332	0.2389299437
333	0.2385578842
334	0.2382824559
335	0.2377780859
336	0.2375485318
337	0.2371430697
338	0.2368058376
339	0.236537954
340	0.2361817569
341	0.2356534131
342	0.2351220216
343	0.2348234091
344	0.234505597
345	0.2342009657
346	0.2336162458
347	0.2332622424
348	0.232924293
349	0.2326329302
350	0.2322536687
351	0.2316452403
352	0.231281014
353	0.2309464916
354	0.2302509838
355	0.2298526233
356	0.2294820711
357	0.2290257073
358	0.2286981103
359	0.2282982754
360	0.2277974235
361	0.2273795691
362	0.2272144117
363	0.2270238857
364	0.2267450426
365	0.2263909798
366	0.22599961
367	0.2254828351
368	0.2252421254
369	0.2250873616
370	0.2247463334
371	0.2242938877
372	0.2237920489
373	0.2235816574
374	0.2232304771
375	0.2227510795
376	0.2223737771
377	0.2219492649
378	0.2217061484
379	0.2214801432
380	0.2211018217
381	0.2208426274
382	0.2206107333
383	0.2203359995
384	0.2200734173
385	0.2198160937
386	0.2195256179
387	0.2190238955
388	0.2188230742
389	0.2182917467
390	0.2179671164
391	0.2174641349
392	0.217032455
393	0.2166910246
394	0.2164830276
395	0.2161205594
396	0.2157935565
397	0.2154924894
398	0.2150598868
399	0.214561867
400	0.2142816374
401	0.2138020738
402	0.2133014387
403	0.2131169161
404	0.2128767554
405	0.2124137988
406	0.2120724036
407	0.2117551917
408	0.2115205103
409	0.2113778072
410	0.2111038752
411	0.2106101771
412	0.2103134963
413	0.2099730798
414	0.2097846132
415	0.2096407676
416	0.2094090919
417	0.2090658229
418	0.2089648807
419	0.2085545798
420	0.2081538087
421	0.207876311
422	0.2076068748
423	0.2074180402
424	0.2069833974
425	0.2066918028
426	0.2065352672
427	0.2061941229
428	0.205938066
429	0.2056430994
430	0.2054738731
431	0.2052186418
432	0.2048562153
433	0.2045681522
434	0.2043164472
435	0.2039964565
436	0.2035866614
437	0.2033901531
438	0.2030925178
439	0.2026547119
440	0.2025180581
441	0.2023038853
442	0.2018567025
443	0.2015382402
444	0.2011497171
445	0.2009255632
446	0.2006405376
447	0.2002462922
448	0.2000247039
449	0.1996985942
450	0.1994352489
451	0.1991356707
452	0.1989092885
453	0.1986146784
454	0.1983464143
455	0.1981694017
456	0.1979715545
457	0.1977696262
458	0.1975929644
459	0.1973003755
460	0.1969579922
461	0.1964146143
462	0.195990252
463	0.1956961851
464	0.1954714376
465	0.1950651788
466	0.1948726028
467	0.1945850834
468	0.194346379
469	0.1941269816
470	0.1938905149
471	0.1936701206
472	0.1933741465
473	0.1931291593
474	0.1929399056
475	0.1927240035
476	0.1923894981
477	0.192136204
478	0.1919369636
479	0.1917729248
480	0.191576259
481	0.1914228471
482	0.1912484559
483	0.1910440853
484	0.1908723459
485	0.1906680461
486	0.1903495807
487	0.1900691057
488	0.1897986698
489	0.1895241489
490	0.1893035643
491	0.1889981557
492	0.1887749892
493	0.1883947187
494	0.1880787684
495	0.1878503023
496	0.1875218771
497	0.1871627365
498	0.1868422378
499	0.1867101085
500	0.1864942469
501	0.18615807
502	0.1859823121
503	0.1857988601
504	0.1855157648
505	0.1851820334
506	0.184811222
507	0.1845336478
508	0.1843917148
509	0.1842615138
510	0.1840505005
511	0.1838760629
512	0.1835366641
513	0.1834083133
514	0.1831761126
515	0.1830604855
516	0.1829287025
517	0.1827192388
518	0.1825893254
519	0.1823430495
520	0.1821465625
521	0.1819076134
522	0.1818706492
523	0.1815811884
524	0.1814320873
525	0.1810056454
526	0.1807954058
527	0.1806279813
528	0.1804827013
529	0.1803333578
530	0.1800795511
531	0.1798781403
532	0.1796119936
533	0.1794246978
534	0.179029877
535	0.1787691906
536	0.1785272015
537	0.1783570819
538	0.1780370451
539	0.1778151643
540	0.1776793602
541	0.1773879303
542	0.1770577067
543	0.1766041279
544	0.1764552714
545	0.1763024573
546	0.1759371639
547	0.1756885078
548	0.1755194488
549	0.1753338784
550	0.1750601193
551	0.1746664525
552	0.1745274705
553	0.1742466169
554	0.1739030821
555	0.1737660281
556	0.1735827438
557	0.17340571
558	0.1732104421
559	0.1730137249
560	0.1727417544
561	0.1725242222
562	0.1722035249
563	0.1720696713
564	0.171664299
565	0.1715216302
566	0.1712783909
567	0.1710952264
568	0.1708658359
569	0.170676067
570	0.1702599162
571	0.1701080336
572	0.1697267795
573	0.1695485932
574	0.1692793941
575	0.1691631617
576	0.1689140233
577	0.1686943624
578	0.168419966
579	0.1682562707
580	0.1679419871
581	0.1677108779
582	0.1674660079
583	0.1672888862
584	0.1670111781
585	0.1669248453
586	0.1667914335
587	0.1666376756
588	0.1664433233
589	0.1662899329
590	0.1661267086
591	0.1658554861
592	0.1657479688
593	0.1655270592
594	0.165234688
595	0.1651018218
596	0.1648559818
597	0.1646545097
598	0.16453789
599	0.1644257058
600	0.1641539092
601	0.1639656306
602	0.1637247707
603	0.1636236433
604	0.1634684449
605	0.163228554
606	0.1630883982
607	0.1629084448
608	0.1628208623
609	0.1627940024
610	0.1626750931
611	0.1625439274
612	0.162365128
613	0.1622572116
614	0.1620033995
615	0.1618422516
616	0.161709599
617	0.1615850289
618	0.1614082522
619	0.1612658521
620	0.1610876353
621	0.1608755771
622	0.1607332028
623	0.1604473577
624	0.1602719633
625	0.1600798471
626	0.1598606789
627	0.15966585
628	0.15953116
629	0.1592638179
630	0.1590437426
631	0.1588786258
632	0.1587724094
633	0.1586403344
634	0.1584125502
635	0.1582958865
636	0.1582189274
637	0.1580390343
638	0.1578098615
639	0.1576382942
640	0.1574579233
641	0.1573164517
642	0.1571494006
643	0.1569766898
644	0.1566492923
645	0.156409057
646	0.1561023909
647	0.156006608
648	0.1557106207
649	0.1556417999
650	0.1554736015
651	0.1552843397
652	0.15507225
653	0.1549328458
654	0.1547884895
655	0.1546883213
656	0.1545727333
657	0.1543040369
658	0.1542162649
659	0.153922235
660	0.1538131732
661	0.1535635037
662	0.1534734105
663	0.1532432794
664	0.1530770537
665	0.1528619055
