iter	Passed	Remaining
0	2	2932
1	4	2414
2	6	2128
3	8	1995
4	9	1894
5	11	1886
6	13	1929
7	15	1897
8	17	1933
9	19	1919
10	20	1885
11	22	1871
12	24	1860
13	26	1864
14	28	1892
15	30	1896
16	32	1885
17	34	1876
18	36	1860
19	37	1846
20	39	1829
21	40	1816
22	43	1828
23	44	1822
24	46	1818
25	48	1821
26	50	1827
27	52	1823
28	54	1816
29	55	1806
30	57	1796
31	59	1794
32	62	1819
33	64	1840
34	67	1871
35	75	2017
36	78	2051
37	81	2057
38	83	2053
39	86	2068
40	88	2073
41	91	2095
42	94	2102
43	96	2096
44	98	2084
45	100	2075
46	102	2075
47	104	2074
48	106	2067
49	108	2062
50	110	2051
51	111	2040
52	113	2028
53	115	2015
54	116	2005
55	118	1996
56	120	1991
57	122	1981
58	123	1975
59	125	1972
60	127	1964
61	129	1957
62	131	1951
63	133	1947
64	135	1942
65	136	1936
66	138	1929
67	140	1923
68	141	1914
69	143	1906
70	145	1897
71	146	1890
72	148	1881
73	149	1875
74	151	1868
75	153	1862
76	155	1859
77	156	1852
78	158	1846
79	159	1839
80	161	1831
81	162	1818
82	163	1811
83	165	1805
84	167	1801
85	169	1797
86	170	1792
87	172	1788
88	174	1783
89	175	1779
90	177	1773
91	179	1768
92	180	1764
93	182	1760
94	184	1756
95	186	1754
96	188	1751
97	189	1745
98	191	1740
99	192	1736
100	194	1731
101	196	1729
102	198	1726
103	199	1721
104	201	1716
105	202	1712
106	204	1707
107	206	1702
108	207	1697
109	209	1692
110	210	1688
111	212	1684
112	214	1680
113	216	1682
114	218	1678
115	219	1674
116	221	1669
117	222	1666
118	224	1661
119	225	1657
120	227	1653
121	229	1650
122	231	1648
123	232	1644
124	234	1641
125	235	1636
126	237	1632
127	239	1629
128	240	1625
129	242	1622
130	244	1618
131	245	1616
132	247	1612
133	248	1608
134	250	1605
135	252	1602
136	253	1599
137	255	1596
138	257	1592
139	258	1589
140	260	1587
141	262	1583
142	263	1580
143	265	1577
144	266	1574
145	268	1570
146	269	1565
147	271	1562
148	273	1559
149	274	1556
150	276	1553
151	277	1549
152	279	1546
153	280	1543
154	282	1539
155	283	1536
156	285	1532
157	286	1529
158	288	1526
159	290	1523
160	291	1520
161	293	1518
162	294	1514
163	296	1511
164	297	1507
165	299	1504
166	300	1500
167	302	1497
168	304	1494
169	305	1492
170	307	1489
171	308	1487
172	310	1484
173	311	1481
174	313	1477
175	315	1475
176	316	1472
177	318	1468
178	319	1466
179	321	1463
180	322	1461
181	324	1458
182	325	1454
183	327	1451
184	328	1448
185	330	1445
186	331	1442
187	333	1439
188	334	1436
189	336	1433
190	337	1431
191	339	1428
192	340	1425
193	342	1422
194	343	1420
195	345	1417
